fieldID, ra (rad), dec (rad)
(458, 0.19104570573565857, -0.9721004697770256)
(459, 4.835501591256864, -0.9721004031979976)
(460, 1.4476835827646597, -0.9721004031979976)
(461, 5.21759543286269, -0.9721003366189715)
(462, 1.0655900074749574, -0.9721003366189715)
(463, 3.578864529820947, -0.9721002034609159)
(464, 2.7043207773586397, -0.9721002034609159)
(465, 3.960958371426772, -0.9721000037238341)
(466, 2.322226935752814, -0.9721000037238341)
(467, 5.569209928424759, -0.9662660830399068)
(468, 0.7139755784919121, -0.9662660830399068)
(469, 3.2272500342588772, -0.966265816723799)
(470, 3.055935272920709, -0.966265816723799)
(471, 4.483886563062579, -0.9662657501447711)
(472, 1.7992987441170079, -0.9662657501447711)
(473, 5.740524157130712, -0.9662653506706074)
(474, 0.5426610834698414, -0.9662653506706074)
(475, 4.312572600672734, -0.9662653506706074)
(476, 1.9706125733488067, -0.9662653506706074)
(477, 4.05445476676451, -0.9637961342869139)
(478, 2.2287304072570304, -0.9637961342869139)
(479, 5.311092094516535, -0.9637954019176127)
(480, 0.9720930129259742, -0.9637954019176127)
(481, 5.998642523671151, -0.9637948692853952)
(482, 0.2845429832455079, -0.9637948692853952)
(483, 3.485367601850993, -0.9637948692853952)
(484, 2.797817705328593, -0.9637948692853952)
(485, 4.742005462235234, -0.9637948027063691)
(486, 1.5411798449443435, -0.9637948027063691)
(487, 4.145580948732082, -0.9519585163995661)
(488, 2.1376043584475046, -0.9519585163995661)
(489, 3.3942422188317627, -0.9519585163995661)
(490, 2.8889430883478235, -0.9519585163995661)
(491, 5.402219075432431, -0.9519584498205382)
(492, 0.8809664314842406, -0.9519584498205382)
(493, 4.650880079216003, -0.9519583166624842)
(494, 1.6323049616474763, -0.9519583166624842)
(495, 5.90751607538749, -0.9519581835044286)
(496, 0.37566943152918575, -0.9519581835044286)
(497, 4.398229981341818, -0.9434276124797146)
(498, 1.884955458995813, -0.9434276124797146)
(499, 3.141592653589793, -0.9434272795845787)
(500, 5.654866776461628, -0.9434270798474971)
(501, 0.6283183309808769, -0.9434270798474971)
(502, 5.490284486359163, -0.9364762294023894)
(503, 0.7929008873994465, -0.9364762294023894)
(504, 4.5628114724959605, -0.9364761628233632)
(505, 1.7203738346836335, -0.9364761628233632)
(506, 3.306175476324474, -0.9364760962443354)
(507, 2.9770098308551125, -0.9364760962443354)
(508, 4.23364689229103, -0.9364759630862813)
(509, 2.0495385480466024, -0.9364759630862813)
(510, 5.819450131828525, -0.9364750309798985)
(511, 0.46373514206154864, -0.9364750309798985)
(512, 3.7254726130942535, -0.9332388907812899)
(513, 2.5577126940853327, -0.9332388907812899)
(514, 3.814349222889034, -0.933238824202262)
(515, 2.4688360842905523, -0.933238824202262)
(516, 4.982110207162386, -0.9332387576232359)
(517, 1.301074833701088, -0.9332387576232359)
(518, 5.070987349589383, -0.9332383581490723)
(519, 1.2121979575902015, -0.9332383581490723)
(520, 6.238746203333871, -0.9332373594636633)
(521, 0.04443904975025663, -0.9332373594636633)
(522, 5.159581664308619, -0.930366338650503)
(523, 1.1236035097129162, -0.930366338650503)
(524, 3.6368782983750174, -0.9303660723343934)
(525, 2.6463070088045693, -0.9303660723343934)
(526, 6.150152953879085, -0.9303660057553672)
(527, 0.1330323782676453, -0.9303660057553672)
(528, 3.9029448691888105, -0.9303660057553672)
(529, 2.380240437990776, -0.9303660057553672)
(530, 4.893515892443167, -0.9303652068070402)
(531, 1.3896692815783733, -0.9303652068070402)
(532, 3.9906984239518972, -0.9245316855972747)
(533, 2.2924868832276895, -0.9245316855972747)
(534, 3.5491242109797145, -0.9245316190182487)
(535, 2.7340610961998717, -0.9245316190182487)
(536, 6.0623991327998725, -0.9245311529650571)
(537, 0.22078635747203684, -0.9245311529650571)
(538, 4.805763136628387, -0.9245305537538117)
(539, 1.4774223037092475, -0.9245305537538117)
(540, 5.247336550652245, -0.9245304205957577)
(541, 1.0358486233692796, -0.9245304205957577)
(542, 3.2217796350637595, -0.9172653171420214)
(543, 3.0614056721158267, -0.9172653171420214)
(544, 4.318042733551744, -0.9172652505629938)
(545, 1.96514244046978, -0.9172652505629938)
(546, 4.4784158975513355, -0.9172649842468857)
(547, 1.8047696759443588, -0.9172649842468857)
(548, 5.735053491619468, -0.9172640521405047)
(549, 0.5481317156915679, -0.9172640521405047)
(550, 5.574680061303787, -0.9172637192453672)
(551, 0.7085053124548364, -0.9172637192453672)
(552, 3.4627597610412137, -0.9155844630200175)
(553, 2.820425546138373, -0.9155844630200175)
(554, 5.3337007342746565, -0.9155841301248818)
(555, 0.9494847726420187, -0.9155841301248818)
(556, 5.976033351280815, -0.9155838638087721)
(557, 0.30715168958265315, -0.9155838638087721)
(558, 4.077063939154847, -0.9155835309136364)
(559, 2.206121501182802, -0.9155835309136364)
(560, 4.719396822477131, -0.9155833977555823)
(561, 1.5637884847024626, -0.9155833977555823)
(562, 5.418146909279976, -0.9033532965025833)
(563, 0.8650384644786409, -0.9033532965025833)
(564, 4.161507184682963, -0.9033532965025833)
(565, 2.121677989338561, -0.9033532965025833)
(566, 4.6349506474717925, -0.9033531633445294)
(567, 1.6482347928658385, -0.9033531633445294)
(568, 3.378313852352001, -0.9033530967655016)
(569, 2.904871454827586, -0.9033530967655016)
(570, 5.891588774172159, -0.9033528970284198)
(571, 0.39159679932354013, -0.9033528970284198)
(572, 4.398230780290143, -0.8943542088630974)
(573, 1.8849545268894443, -0.8943542088630974)
(574, 5.654866776461628, -0.8943540757050433)
(575, 0.6283186638760127, -0.8943540757050433)
(576, 3.141592653589793, -0.8943538759679615)
(577, 3.7699106516755356, -0.887900104540318)
(578, 2.5132746555040506, -0.887900104540318)
(579, 5.026548245743669, -0.8878998382242084)
(580, 1.2566367951198074, -0.8878998382242084)
(581, 0.0, -0.8878994387500447)
(582, 3.296298344473588, -0.8876729368993345)
(583, 2.986886962705998, -0.8876729368993345)
(584, 4.243524823090239, -0.8876728037412787)
(585, 2.039660617247393, -0.8876728037412787)
(586, 4.552937536438368, -0.8876717384768436)
(587, 1.7302479038992662, -0.8876717384768436)
(588, 5.809572467345423, -0.8876715387397618)
(589, 0.4736127066761112, -0.8876715387397618)
(590, 5.500161085577832, -0.8876714721607339)
(591, 0.7830244213388339, -0.8876714721607339)
(592, 3.6873947358283052, -0.8866489514601974)
(593, 2.595790571351281, -0.8866489514601974)
(594, 3.8524273664710904, -0.8866489514601974)
(595, 2.430757940708496, -0.8866489514601974)
(596, 5.109065226855331, -0.8866487517231156)
(597, 1.1741202134823032, -0.8866487517231156)
